Tipe Kepribadian,Suka Manis,Aktif Malam,Suka Nongkrong,Pekerja Kreatif,Level Kafein,Suka Es/Panas,Topping Favorit,Kopi Susu/Hitam,Budget,Mood,Jenis Kopi
Santai,Ya,Ya,Ya,Tidak,Tinggi,Es,Boba,Susu,Ekonomis,Senang,Kopi Kenangan Mantan
Sibuk dan Produktif,Tidak,Tidak,Tidak,Ya,Sedang,Panas,Jelly,Hitam,Standar,Galau,Avocatto
Petualang,Tidak,Ya,Ya,Ya,Tinggi,Es,Tanpa Topping,Susu,Premium,Butuh Energi,Kopi Lupakan Dia
Pemikir,Ya,Tidak,Tidak,Tidak,Rendah,Panas,Boba,Hitam,Ekonomis,Santai,Caramel Macchiato
Santai,Ya,Ya,Ya,Ya,Sedang,Es,Jelly,Susu,Standar,Senang,Kopi Kenangan Mantan
Petualang,Tidak,Ya,Ya,Tidak,Tinggi,Panas,Tanpa Topping,Hitam,Premium,Galau,Kopi Lupakan Dia
Romantis,Ya,Tidak,Tidak,Ya,Rendah,Es,Boba,Susu,Ekonomis,Butuh Energi,Kopi Teh Susu
Ambisius,Tidak,Ya,Ya,Tidak,Tinggi,Panas,Jelly,Hitam,Standar,Santai,Americano
Humoris,Ya,Tidak,Tidak,Ya,Sedang,Es,Tanpa Topping,Susu,Premium,Senang,Kopi Kenangan Masa Lalu
Introvert,Tidak,Ya,Ya,Tidak,Rendah,Panas,Boba,Hitam,Ekonomis,Galau,Dalgona
Ekstrovert,Ya,Tidak,Tidak,Ya,Tinggi,Es,Jelly,Susu,Standar,Butuh Energi,Kopi Kenangan Mantan
Perfeksionis,Tidak,Ya,Ya,Tidak,Sedang,Panas,Tanpa Topping,Hitam,Premium,Santai,Americano
Santai,Ya,Tidak,Ya,Ya,Tinggi,Es,Boba,Susu,Ekonomis,Senang,Kopi Lupakan Dia
Ambisius,Tidak,Ya,Tidak,Tidak,Sedang,Panas,Jelly,Hitam,Standar,Galau,Avocatto
Romantis,Ya,Tidak,Ya,Ya,Rendah,Es,Tanpa Topping,Susu,Premium,Butuh Energi,Kopi Teh Susu
Humoris,Tidak,Ya,Tidak,Tidak,Tinggi,Panas,Boba,Hitam,Ekonomis,Santai,Caramel Macchiato
Pemikir,Ya,Tidak,Ya,Ya,Sedang,Es,Jelly,Susu,Standar,Senang,Kopi Kenangan Mantan
Ekstrovert,Tidak,Ya,Tidak,Tidak,Rendah,Panas,Tanpa Topping,Hitam,Premium,Galau,Dalgona
